x,y
16.8157,28.6753
16.7808,28.9009
16.6736,29.0645
16.5664,29.228
16.4592,29.3915
16.352,29.5551
16.2449,29.7186
16.1377,29.8822
15.7663,30.1109
15.395,30.3397
15.0237,30.5685
14.6523,30.7973
14.281,31.0261
13.9096,31.2549
13.7135,31.313
13.3463,31.4541
12.9792,31.5951
12.612,31.7362
12.2449,31.8773
11.7068,32.1013
11.4106,32.1773
11.1144,32.2533
10.8181,32.3293
10.2802,32.3903
9.50056,32.4364
8.96263,32.4974
8.49156,32.4959
8.0205,32.4944
7.60638,32.4977
7.19226,32.5009
6.77813,32.5042
6.36401,32.5075
5.70561,32.3989
5.21787,32.2966
4.5313,32.1803
4.04356,32.078
3.35699,31.9617
3.06808,31.8734
2.86762,31.7374
2.47911,31.5256
2.0906,31.3137
1.7021,31.1018
1.12554,30.8141
0.737029,30.6022
0.487789,30.4757
0.0344792,30.2211
-0.41883,29.9666
-0.87214,29.712
-1.52952,29.3293
-1.98283,29.0747
-2.332,28.8731
-2.68116,28.6715
-2.84007,28.5791
-3.18923,28.3775
-3.5384,28.1759
-3.88757,27.9743
-4.25929,27.7597
-4.44076,27.6542
-4.62223,27.5488
-4.94511,27.3085
-5.26799,27.0682
-5.59087,26.8279
-6.01279,26.3949
-6.29329,26.0967
-6.4324,25.9333
-6.70809,25.6166
-6.98379,25.2998
-7.25949,24.9831
-7.53009,24.6625
-7.80069,24.342
-8.07128,24.0215
-8.33266,23.6794
-8.59404,23.3373
-8.85543,22.9952
-9.13747,22.6233
-9.41952,22.2513
-9.8566,21.7323
-10.3213,21.2413
-10.631,20.8973
-10.9407,20.5532
-11.2412,20.2931
-11.5439,20.0431
-11.8465,19.7931
-12.1491,19.5431
-12.4518,19.2931
-12.5972,19.18
-13.5107,18.6865
-13.9195,18.5379
-14.5186,18.318
-14.9274,18.1695
-15.1458,18.0923
-15.3642,18.0151
-15.7884,17.7225
-15.9487,17.6044
-16.3729,17.3118
-16.7971,17.0193
-16.9574,16.9011
-17.3816,16.6086
-17.8092,16.2188
-17.9731,16.0034
-18.4007,15.6136
-18.5646,15.3982
-18.7284,15.1828
-18.8923,14.9674
-18.9603,14.745
-19.0826,14.1805
-19.1506,13.9581
-19.2729,13.3937
-19.3951,12.8292
-19.4632,12.6068
-19.5276,12.0326
-19.5921,11.4584
-19.6023,11.2262
-19.6668,10.652
-19.677,10.4199
-19.6873,10.1877
-19.608,9.97021
-19.4604,9.55916
-19.3128,9.14812
-19.0969,8.54354
-18.9493,8.13249
-18.8017,7.72144
-18.6988,7.50395
-18.4972,7.08775
-18.2955,6.67155
-18.0939,6.25534
-17.8922,5.83914
-17.5918,5.22422
-17.4398,5.02296
-17.2878,4.82169
-16.9064,4.34825
-16.6398,4.0109
-16.2584,3.53746
-15.9917,3.20011
-15.847,3.04552
-15.7022,2.89092
-15.3593,2.58685
-15.0164,2.28277
-14.6735,1.97869
-14.3305,1.67462
-13.9577,1.40546
-13.783,1.28579
-13.4101,1.01663
-13.2354,0.896961
-13.0608,0.777288
-12.6717,0.588314
-12.2329,0.455902
-11.7941,0.323489
-11.3554,0.191076
-10.9166,0.0586634
-10.4779,-0.0737493
-10.2535,-0.136861
-9.82712,-0.226514
-9.40071,-0.316168
-8.9743,-0.405822
-8.54789,-0.495475
-8.35278,-0.529273
-7.92637,-0.618927
-7.43635,-0.742263
-7.17764,-0.809744
-6.70261,-0.874621
-6.22759,-0.939499
-5.75256,-1.00438
-5.06123,-1.06665
-4.52532,-1.00885
-4.20571,-0.953658
-3.60141,-0.860632
-2.71241,-0.729776
-2.10811,-0.63675
-1.50381,-0.543725
1.52362,-0.348082
