x,y
1.52362,-0.348082
1.77992,-0.349158
2.32462,-0.364082
2.86932,-0.379005
3.41402,-0.393928
3.95872,-0.408851
4.50342,-0.423775
5.25758,-0.418933
6.01174,-0.414092
6.76591,-0.409251
7.52007,-0.40441
8.27423,-0.399569
9.0284,-0.394728
9.6315,-0.306944
10.2346,-0.219161
10.8377,-0.131377
11.1199,-0.087845
11.723,-6.15517e-05
12.3261,0.0877219
12.892,0.157533
13.3906,0.230079
13.8892,0.302625
14.3877,0.375171
14.6327,0.400731
15.1313,0.473277
15.5569,0.603487
15.9825,0.733697
16.1545,0.81692
16.3265,0.900143
16.4986,0.983367
16.6706,1.06659
16.795,1.21121
16.9195,1.35582
17.0439,1.50044
17.1684,1.64506
17.2928,1.78967
17.5116,2.17424
17.5809,2.33557
17.7446,2.73684
17.9082,3.13812
18.0719,3.53939
18.1413,3.70072
18.3049,4.10199
18.4399,4.54626
18.4806,4.75058
18.5213,4.9549
18.562,5.15921
18.6173,5.58132
18.6725,6.00343
18.6807,6.43956
18.6889,6.87569
18.697,7.31183
18.7052,7.74796
18.6989,7.96631
18.6925,8.18465
18.6221,8.38572
18.5517,8.5868
18.3831,8.99581
18.2145,9.40483
18.0459,9.81385
17.8773,10.2229
17.6544,10.6316
17.4316,11.0404
17.307,11.2412
17.0648,11.6313
16.8227,12.0213
16.5805,12.4114
16.309,12.7907
16.0374,13.1701
15.7659,13.5495
15.4998,13.8852
15.2338,14.221
14.9677,14.5567
14.6391,15.085
14.4225,15.4676
14.1888,15.8582
13.9551,16.2488
13.2699,17.8298
13.2753,18.9212
13.3626,19.2844
13.45,19.6475
13.5373,20.0106
13.6122,20.3683
13.687,20.726
14.2315,21.9772
14.269,22.162
14.4284,22.4869
14.5878,22.8118
14.7471,23.1368
14.7847,23.3216
14.9289,23.6812
15.1991,23.9986
15.4694,24.316
15.7397,24.6334
16.01,24.9508
16.2803,25.2682
16.444,25.4108
16.5224,25.5696
16.6008,25.7285
16.6792,25.8873
16.7702,26.2433
16.8486,26.4021
16.9397,26.7582
16.9174,27.181
16.8951,27.6039
16.8855,28.224
16.8506,28.4496
